"GENNO","SPNO","GrowthForm","Frequency"
2206,152,"Dwarf shrub","commonly"
2206,186,"Herb","commonly"
2206,186,"Succulent","commonly"
362,25,"Herb","commonly"
1511,75,"Tree","occasionally"
1511,75,"Shrub","commonly"
1702,27,"Shrub","commonly"
1709,9,"Herb","commonly"
1709,9,"Succulent","commonly"
1671,86,"Herb","commonly"
1683,78,"Herb","commonly"
1683,46,"Herb","commonly"
1683,29,"Herb","commonly"
1671,73,"Herb","commonly"
1671,36,"Herb","commonly"
1671,36,"Succulent","commonly"
4072,2,"Shrub","commonly"
4072,16,"Tree","commonly"
4075,22,"Shrub","commonly"
4075,22,"Tree","occasionally"
2585,88,"Herb","commonly"
4075,21,"Tree","commonly"
4075,15,"Shrub","commonly"
2585,101,"Herb","commonly"
4075,2,"Herb","commonly"
4075,2,"Dwarf shrub","commonly"
2585,39,"Herb","commonly"
2599,1,"Herb","commonly"
1489,13,"Shrub","commonly"
1489,13,"Tree","commonly"
1264,2,"Graminoid","commonly"
351,2,"Herb","commonly"
3448,23,"Shrub","commonly"
3448,58,"Scrambler","occasionally"
3448,58,"Shrub","commonly"
3448,25,"Shrub","commonly"
794,32,"Shrub","commonly"
1516,4,"Shrub","commonly"
2206,206,"Succulent","commonly"
2206,206,"Tree","commonly"
1181,5,"Graminoid","commonly"
1185,53,"Graminoid","commonly"
1257,84,"Graminoid","commonly"
1257,77,"Graminoid","commonly"
1185,37,"Graminoid","commonly"
1233,2,"Graminoid","commonly"
1257,85,"Graminoid","commonly"
1231,1,"Graminoid","commonly"
1181,6,"Graminoid","commonly"
1181,7,"Graminoid","commonly"
1185,33,"Graminoid","commonly"
1257,3,"Graminoid","commonly"
1185,31,"Graminoid","commonly"
1271,8,"Graminoid","commonly"
1257,76,"Graminoid","commonly"
1164,1,"Graminoid","commonly"
1257,75,"Graminoid","commonly"
1166,1,"Graminoid","commonly"
1271,7,"Graminoid","commonly"
1328,5,"Graminoid","commonly"
1262,24,"Graminoid","commonly"
1147,3,"Graminoid","commonly"
1336,2,"Graminoid","commonly"
1229,3,"Graminoid","commonly"
1367,10,"Graminoid","commonly"
1367,69,"Graminoid","commonly"
1367,103,"Graminoid","commonly"
1367,26,"Graminoid","commonly"
1340,2,"Graminoid","commonly"
1367,59,"Graminoid","commonly"
1262,51,"Graminoid","commonly"
1257,88,"Graminoid","commonly"
1367,46,"Graminoid","commonly"
1229,2,"Graminoid","commonly"
1257,87,"Graminoid","commonly"
1229,1,"Graminoid","commonly"
1367,48,"Graminoid","commonly"
1301,9,"Graminoid","commonly"
1367,67,"Graminoid","commonly"
1257,86,"Graminoid","commonly"
1365,3,"Graminoid","commonly"
1367,164,"Graminoid","commonly"
3405,1,"Dwarf shrub","commonly"
3297,7,"Herb","commonly"
3909,5,"Herb","commonly"
3909,85,"Herb","commonly"
3909,85,"Dwarf shrub","commonly"
115,708,"Succulent","commonly"
1556,313,"Geophyte","commonly"
115,715,"Succulent","commonly"
2833,20,"Geophyte","commonly"
2833,20,"Herb","commonly"
7601,1,"Shrub","commonly"
1625,15,"Herb","commonly"
1625,101,"Herb","commonly"
1617,9,"Herb","commonly"
1620,2,"Shrub","commonly"
1617,8,"Herb","commonly"
1625,31,"Herb","commonly"
1625,100,"Herb","commonly"
1625,74,"Herb","commonly"
1625,135,"Climber","commonly"
1625,417,"Shrub","commonly"
3974,11,"Herb","commonly"
3974,11,"Succulent","commonly"
5131,1,"Succulent","commonly"
2212,123,"Geophyte","commonly"
2212,123,"Succulent","commonly"
2212,123,"Herb","commonly"
115,716,"Succulent","commonly"
115,721,"Succulent","commonly"
115,703,"Succulent","commonly"
2212,148,"Geophyte","commonly"
2212,145,"Succulent","commonly"
2212,145,"Herb","commonly"
129,113,"Succulent","commonly"
115,414,"Succulent","commonly"
129,115,"Succulent","commonly"
129,116,"Succulent","commonly"
103,8,"Succulent","commonly"
129,117,"Succulent","commonly"
129,114,"Succulent","commonly"
67,2,"Succulent","commonly"
115,25,"Succulent","commonly"
129,118,"Succulent","commonly"
115,4,"Succulent","commonly"
137,188,"Succulent","commonly"
137,188,"Dwarf shrub","commonly"
115,459,"Succulent","commonly"
137,209,"Succulent","commonly"
115,454,"Succulent","commonly"
115,635,"Succulent","commonly"
115,432,"Succulent","commonly"
115,634,"Succulent","commonly"
115,428,"Succulent","commonly"
115,435,"Succulent","commonly"
115,433,"Succulent","commonly"
115,427,"Succulent","commonly"
115,326,"Succulent","commonly"
1769,4,"Epiphyte","commonly"
1769,4,"Bryophyte","commonly"
1769,3,"Epiphyte","commonly"
1769,3,"Bryophyte","commonly"
1769,2,"Epiphyte","commonly"
1769,2,"Bryophyte","commonly"
1483,8,"Epiphyte","commonly"
1483,8,"Bryophyte","commonly"
3867,22,"Hydrophyte","commonly"
3867,22,"Bryophyte","commonly"
2374,50,"Lichen","commonly"
2374,22,"Lichen","commonly"
2374,52,"Lichen","commonly"
537,13,"Epiphyte","commonly"
537,13,"Bryophyte","commonly"
2374,21,"Lichen","commonly"
2374,20,"Lichen","commonly"
537,12,"Bryophyte","commonly"
2374,51,"Lichen","commonly"
682,47,"Bryophyte","commonly"
2206,204,"Herb","commonly"
2206,204,"Succulent","commonly"
2206,88,"Succulent","commonly"
2206,88,"Herb","commonly"
2206,88,"Dwarf shrub","commonly"
2713,1,"Climber","commonly"
2713,1,"Shrub","commonly"
2713,1,"Dwarf shrub","commonly"
2712,13,"Dwarf shrub","commonly"
450,49,"Herb","commonly"
450,27,"Herb","commonly"
357,55,"Shrub","commonly"
357,55,"Dwarf shrub","commonly"
341,9,"Tree","commonly"
349,131,"Herb","commonly"
349,117,"Shrub","commonly"
349,117,"Dwarf shrub","commonly"
437,16,"Shrub","commonly"
329,13,"Herb","commonly"
325,2,"Tree","commonly"
370,48,"Shrub","commonly"
417,10,"Herb","commonly"
278,6,"Tree","commonly"
278,6,"Shrub","commonly"
398,13,"Shrub","commonly"
398,13,"Dwarf shrub","commonly"
398,13,"Herb","commonly"
248,11,"Shrub","commonly"
283,47,"Herb","commonly"
283,49,"Herb","commonly"
421,17,"Herb","commonly"
282,22,"Dwarf shrub","commonly"
421,9,"Shrub","commonly"
283,10,"Herb","commonly"
241,1,"Tree","commonly"
283,62,"Shrub","commonly"
317,28,"Herb","commonly"
389,12,"Climber","commonly"
389,12,"Tree","commonly"
389,12,"Shrub","commonly"
1117,1,"Parasite","commonly"
1117,1,"Herb","commonly"
1117,2,"Herb","commonly"
1852,51,"Dwarf shrub","commonly"
2051,5,"Herb","commonly"
2051,5,"Hydrophyte","commonly"
1114,13,"Parasite","commonly"
1114,13,"Herb","commonly"
1852,121,"Shrub","occasionally"
1852,121,"Dwarf shrub","commonly"
1851,2,"Tree","commonly"
1979,41,"Herb","commonly"
1976,44,"Geophyte","commonly"
2048,1,"Geophyte","commonly"
1979,3,"Herb","commonly"
1848,7,"Dwarf shrub","commonly"
1976,208,"Geophyte","commonly"
1671,70,"Herb","commonly"
1952,3,"Dwarf shrub","commonly"
1952,3,"Shrub","commonly"
1720,43,"Herb","commonly"
1852,148,"Dwarf shrub","commonly"
1717,14,"Herb","commonly"
1717,14,"Climber","commonly"
1976,89,"Dwarf shrub","commonly"
1820,31,"Dwarf shrub","commonly"
1858,1,"Climber","occasionally"
1858,1,"Shrub","commonly"
1858,1,"Tree","commonly"
1852,192,"Dwarf shrub","commonly"
2567,1,"Shrub","commonly"
1852,223,"Dwarf shrub","commonly"
1976,305,"Geophyte","commonly"
1847,3,"Tree","commonly"
1847,3,"Shrub","occasionally"
1421,2,"Tree","commonly"
1421,2,"Shrub","commonly"
1976,32,"Geophyte","commonly"
1922,2,"Climber","occasionally"
1922,2,"Herb","commonly"
1976,230,"Geophyte","commonly"
1976,228,"Geophyte","commonly"
2013,3,"Helophyte","commonly"
1852,202,"Dwarf shrub","commonly"
1488,3,"Herb","commonly"
1488,3,"Dwarf shrub","commonly"
1852,86,"Dwarf shrub","commonly"
1852,87,"Shrub","occasionally"
1852,87,"Dwarf shrub","commonly"
1717,24,"Herb","commonly"
1717,25,"Herb","commonly"
1852,92,"Herb","commonly"
1671,118,"Succulent","commonly"
1671,118,"Herb","commonly"
2088,8,"Geophyte","commonly"
1446,9,"Shrub","commonly"
1820,30,"Shrub","commonly"
1671,117,"Succulent","commonly"
1671,117,"Herb","commonly"
1976,163,"Succulent","commonly"
1976,163,"Dwarf shrub","commonly"
1852,131,"Shrub","occasionally"
1852,131,"Dwarf shrub","commonly"
3193,53,"Suffrutex","commonly"
3193,53,"Shrub","commonly"
2678,15,"Herb","commonly"
3834,78,"Succulent","commonly"
3834,78,"Dwarf shrub","commonly"
3455,211,"Shrub","commonly"
2585,36,"Herb","occasionally"
2585,36,"Shrub","occasionally"
2585,36,"Dwarf shrub","commonly"
3834,77,"Succulent","commonly"
3834,77,"Lithophyte","commonly"
3834,77,"Dwarf shrub","commonly"
3288,13,"Shrub","commonly"
3152,46,"Herb","commonly"
3835,242,"Herb","commonly"
3835,242,"Succulent","commonly"
3193,54,"Suffrutex","commonly"
3193,54,"Shrub","commonly"
3195,61,"Herb","commonly"
2678,16,"Herb","commonly"
3152,57,"Climber","commonly"
3152,57,"Succulent","commonly"
3152,57,"Herb","commonly"
3060,5,"Shrub","commonly"
3060,5,"Herb","commonly"
3835,386,"Herb","commonly"
3835,386,"Succulent","commonly"
2977,16,"Tree","commonly"
3152,466,"Dwarf shrub","commonly"
3152,28,"Herb","commonly"
3612,80,"Dwarf shrub","commonly"
3140,35,"Herb","commonly"
3198,72,"Succulent","commonly"
3198,72,"Shrub","commonly"
3198,65,"Herb","commonly"
3198,65,"Succulent","commonly"
3077,7,"Dwarf shrub","commonly"
3240,99,"Herb","commonly"
3152,417,"Herb","commonly"
3048,67,"Shrub","commonly"
3146,1,"Suffrutex","commonly"
3196,34,"Herb","commonly"
2999,6,"Herb","commonly"
3195,60,"Suffrutex","commonly"
3612,92,"Shrub","occasionally"
3612,92,"Dwarf shrub","commonly"
3455,14,"Shrub","commonly"
3152,408,"Herb","commonly"
3152,396,"Succulent","commonly"
3152,396,"Herb","commonly"
3240,417,"Herb","commonly"
3240,417,"Shrub","commonly"
3240,417,"Dwarf shrub","commonly"
2997,1,"Shrub","commonly"
3835,358,"Herb","commonly"
3835,358,"Succulent","commonly"
2949,3,"Shrub","commonly"
2949,3,"Tree","commonly"
3168,29,"Shrub","commonly"
3048,150,"Shrub","commonly"
3288,40,"Shrub","commonly"
3455,207,"Dwarf shrub","commonly"
3823,33,"Succulent","commonly"
3823,33,"Lithophyte","commonly"
3823,33,"Shrub","commonly"
3658,3,"Tree","commonly"
3898,1,"Shrub","commonly"
3898,1,"Tree","commonly"
3894,2,"Shrub","commonly"
2838,11,"Geophyte","commonly"
2838,11,"Herb","commonly"
2838,16,"Geophyte","commonly"
2838,16,"Herb","commonly"
3612,28,"Dwarf shrub","commonly"
3835,60,"Succulent","commonly"
3835,60,"Dwarf shrub","commonly"
3152,159,"Dwarf shrub","commonly"
3152,159,"Herb","commonly"
3614,38,"Herb","commonly"
3152,163,"Herb","commonly"
2750,3,"Herb","commonly"
2750,3,"Parasite","commonly"
3154,46,"Herb","commonly"
3835,59,"Succulent","commonly"
3835,59,"Dwarf shrub","commonly"
2838,22,"Geophyte","commonly"
2838,22,"Herb","commonly"
3240,270,"Herb","commonly"
3272,25,"Herb","commonly"
2662,3,"Herb","commonly"
2928,1,"Tree","commonly"
2928,1,"Shrub","commonly"
2585,60,"Herb","occasionally"
2585,60,"Shrub","commonly"
3612,3,"Dwarf shrub","commonly"
3835,292,"Herb","commonly"
3835,292,"Succulent","commonly"
3835,382,"Herb","commonly"
3835,382,"Succulent","commonly"
3152,244,"Herb","commonly"
2585,61,"Herb","commonly"
3612,1,"Dwarf shrub","commonly"
3612,2,"Dwarf shrub","commonly"
3152,173,"Herb","commonly"
3154,19,"Herb","commonly"
3631,2,"Herb","commonly"
3184,11,"Herb","commonly"
3184,10,"Herb","commonly"
3152,470,"Herb","commonly"
2976,21,"Shrub","commonly"
2976,21,"Dwarf shrub","commonly"
3612,112,"Dwarf shrub","commonly"
3835,384,"Herb","commonly"
3835,384,"Succulent","commonly"
3152,487,"Herb","commonly"
3152,123,"Herb","commonly"
2666,1,"Herb","commonly"
3162,30,"Herb","commonly"
3162,30,"Hydrophyte","commonly"
3162,51,"Herb","commonly"
3823,24,"Succulent","commonly"
3823,24,"Shrub","commonly"
3240,195,"Herb","commonly"
3240,195,"Shrub","commonly"
3835,380,"Herb","commonly"
3835,380,"Succulent","commonly"
3612,41,"Dwarf shrub","commonly"
3272,74,"Herb","commonly"
3835,52,"Herb","commonly"
3835,52,"Succulent","commonly"
3272,70,"Suffrutex","commonly"
3272,70,"Shrub","commonly"
3835,381,"Herb","commonly"
3835,381,"Succulent","commonly"
3835,381,"Lithophyte","commonly"
3198,86,"Succulent","commonly"
3198,86,"Shrub","commonly"
3152,297,"Herb","commonly"
3048,18,"Shrub","commonly"
3048,18,"Dwarf shrub","commonly"
3614,13,"Dwarf shrub","commonly"
3896,5,"Herb","commonly"
2790,8,"Epiphyte","commonly"
2790,8,"Herb","commonly"
2769,4,"Geophyte","commonly"
2769,4,"Herb","commonly"
3455,78,"Dwarf shrub","commonly"
3091,2,"Suffrutex","commonly"
2625,6,"Climber","occasionally"
2625,6,"Shrub","commonly"
3091,3,"Suffrutex","commonly"
3835,192,"Herb","commonly"
3835,192,"Succulent","commonly"
3077,149,"Herb","commonly"
3835,151,"Herb","commonly"
3835,151,"Succulent","commonly"
3835,150,"Herb","commonly"
3835,150,"Succulent","commonly"
2807,1,"Geophyte","commonly"
2807,1,"Epiphyte","occasionally"
2807,1,"Succulent","occasionally"
2807,1,"Herb","commonly"
3077,148,"Herb","commonly"
3217,17,"Herb","commonly"
3320,8,"Herb","commonly"
3222,98,"Dwarf shrub","commonly"
3320,5,"Herb","commonly"
3033,7,"Herb","commonly"
3077,45,"Dwarf shrub","commonly"
3198,137,"Herb","commonly"
3198,137,"Geophyte","commonly"
3198,137,"Succulent","commonly"
3198,134,"Herb","commonly"
3198,134,"Succulent","commonly"
3835,356,"Herb","commonly"
3835,356,"Succulent","commonly"
3835,356,"Scrambler","commonly"
2770,17,"Herb","commonly"
2770,17,"Succulent","commonly"
2770,17,"Epiphyte","commonly"
3140,34,"Herb","commonly"
2640,37,"Herb","commonly"
3089,17,"Herb","commonly"
3089,16,"Herb","commonly"
3089,15,"Herb","commonly"
2790,6,"Epiphyte","commonly"
2790,6,"Herb","commonly"
3089,14,"Herb","commonly"
3089,18,"Herb","commonly"
3212,16,"Herb","commonly"
3089,13,"Herb","commonly"
3089,10,"Herb","commonly"
3835,152,"Herb","commonly"
3835,152,"Succulent","commonly"
3089,19,"Herb","commonly"
3240,351,"Dwarf shrub","commonly"
3089,20,"Herb","commonly"
2785,6,"Herb","commonly"
2785,6,"Geophyte","commonly"
3240,329,"Herb","commonly"
3089,9,"Herb","commonly"
3221,34,"Shrub","commonly"
3221,34,"Dwarf shrub","commonly"
3222,4,"Shrub","commonly"
3086,11,"Dwarf shrub","commonly"
2878,164,"Climber","commonly"
3240,383,"Herb","commonly"
3240,383,"Shrub","commonly"
3198,118,"Succulent","commonly"
3198,118,"Shrub","commonly"
3835,456,"Succulent","commonly"
3835,456,"Dwarf shrub","commonly"
3138,8,"Herb","commonly"
3138,4,"Herb","commonly"
2729,21,"Geophyte","commonly"
2729,21,"Herb","commonly"
3835,357,"Herb","commonly"
3835,357,"Succulent","commonly"
3835,357,"Scrambler","commonly"
3198,92,"Suffrutex","commonly"
3198,92,"Succulent","commonly"
3077,32,"Dwarf shrub","commonly"
3198,119,"Succulent","commonly"
3198,119,"Shrub","commonly"
3614,100,"Dwarf shrub","commonly"
3614,100,"Herb","occasionally"
2690,8,"Herb","commonly"
3039,7,"Shrub","commonly"
3039,3,"Shrub","commonly"
3835,212,"Herb","commonly"
3835,212,"Succulent","commonly"
3240,72,"Herb","commonly"
3198,87,"Succulent","commonly"
3198,87,"Suffrutex","commonly"
3835,213,"Herb","commonly"
3835,213,"Succulent","commonly"
4088,17,"Herb","commonly"
4088,17,"Parasite","commonly"
4088,37,"Parasite","commonly"
4088,37,"Shrub","commonly"
4088,19,"Parasite","commonly"
4088,19,"Shrub","commonly"
1488,10,"Herb","occasionally"
1488,10,"Dwarf shrub","commonly"
1717,101,"Herb","commonly"
1717,97,"Herb","commonly"
269,8,"Shrub","commonly"
269,8,"Dwarf shrub","commonly"
1007,2,"Dwarf shrub","commonly"
269,5,"Herb","commonly"
228,10,"Climber","commonly"
269,38,"Herb","commonly"
796,4,"Tree","commonly"
364,179,"Shrub","commonly"
364,179,"Dwarf shrub","commonly"
437,50,"Shrub","commonly"
279,36,"Dwarf shrub","commonly"
364,76,"Dwarf shrub","commonly"
688,1,"Bryophyte","commonly"
437,31,"Shrub","commonly"
327,41,"Dwarf shrub","commonly"
275,8,"Herb","commonly"
282,17,"Herb","commonly"
282,17,"Shrub","commonly"
282,17,"Dwarf shrub","commonly"
269,36,"Herb","commonly"
933,17,"Shrub","commonly"
269,15,"Dwarf shrub","commonly"
269,35,"Herb","commonly"
364,331,"Dwarf shrub","commonly"
269,37,"Herb","commonly"
364,189,"Shrub","commonly"
364,189,"Dwarf shrub","commonly"
269,29,"Herb","commonly"
269,73,"Shrub","commonly"
364,11,"Shrub","commonly"
364,11,"Dwarf shrub","commonly"
282,9,"Herb","commonly"
282,9,"Dwarf shrub","commonly"
439,6,"Shrub","commonly"
364,295,"Dwarf shrub","commonly"
378,15,"Shrub","commonly"
364,303,"Dwarf shrub","commonly"
364,356,"Dwarf shrub","commonly"
446,45,"Shrub","commonly"
364,299,"Shrub","commonly"
364,299,"Tree","commonly"
357,307,"Shrub","commonly"
283,25,"Herb","commonly"
357,95,"Dwarf shrub","commonly"
939,3,"Tree","commonly"
939,3,"Shrub","occasionally"
357,132,"Herb","commonly"
617,5,"Bryophyte","commonly"
357,176,"Shrub","commonly"
357,176,"Dwarf shrub","commonly"
349,104,"Herb","commonly"
435,9,"Shrub","commonly"
435,9,"Dwarf shrub","commonly"
483,19,"Herb","commonly"
816,11,"Shrub","commonly"
370,72,"Dwarf shrub","commonly"
483,31,"Herb","commonly"
816,10,"Shrub","commonly"
1007,1,"Dwarf shrub","commonly"
483,1,"Herb","commonly"
450,67,"Dwarf shrub","commonly"
327,42,"Dwarf shrub","commonly"
318,2,"Shrub","commonly"
318,2,"Tree","commonly"
450,134,"Herb","commonly"
378,14,"Shrub","commonly"
341,31,"Shrub","commonly"
341,31,"Dwarf shrub","commonly"
378,4,"Tree","commonly"
378,4,"Shrub","commonly"
378,11,"Shrub","commonly"
1948,3,"Shrub","commonly"
1948,3,"Tree","occasionally"
3576,27,"Herb","commonly"
1742,5,"Herb","commonly"
2198,5,"Herb","commonly"
2215,187,"Succulent","commonly"
2206,103,"Succulent","commonly"
2206,103,"Shrub","commonly"
2206,252,"Succulent","commonly"
2206,252,"Shrub","commonly"
2206,246,"Succulent","commonly"
2206,246,"Shrub","commonly"
2206,245,"Succulent","commonly"
2206,245,"Shrub","commonly"
2206,245,"Dwarf shrub","commonly"
2206,244,"Succulent","commonly"
2206,244,"Dwarf shrub","commonly"
2206,168,"Herb","commonly"
2206,168,"Succulent","commonly"
2206,243,"Succulent","commonly"
2206,243,"Dwarf shrub","commonly"
2206,208,"Succulent","commonly"
2206,208,"Shrub","commonly"
2206,208,"Tree","commonly"
2206,247,"Succulent","commonly"
2206,247,"Shrub","commonly"
2206,56,"Succulent","commonly"
2206,56,"Shrub","commonly"
2214,7,"Herb","commonly"
2214,7,"Succulent","commonly"
2212,34,"Herb","commonly"
2212,34,"Geophyte","commonly"
2212,34,"Succulent","commonly"
2215,3,"Succulent","commonly"
2215,7,"Succulent","commonly"
2215,1,"Succulent","commonly"
2215,26,"Succulent","commonly"
2215,27,"Succulent","commonly"
2215,99,"Succulent","commonly"
2215,186,"Succulent","commonly"
2206,55,"Succulent","commonly"
2206,55,"Shrub","commonly"
2206,54,"Succulent","commonly"
2206,54,"Shrub","commonly"
2206,16,"Succulent","commonly"
2206,16,"Herb","commonly"
2215,101,"Succulent","commonly"
2215,145,"Succulent","commonly"
2215,138,"Succulent","commonly"
2215,164,"Succulent","commonly"
3835,271,"Succulent","commonly"
3835,271,"Dwarf shrub","commonly"
3835,53,"Succulent","commonly"
3835,53,"Dwarf shrub","commonly"
3835,272,"Succulent","commonly"
3835,272,"Dwarf shrub","commonly"
2678,94,"Climber","commonly"
2678,94,"Succulent","commonly"
3835,270,"Succulent","commonly"
3835,270,"Dwarf shrub","commonly"
3835,145,"Succulent","commonly"
3835,145,"Dwarf shrub","commonly"
2678,95,"Succulent","commonly"
2678,95,"Climber","commonly"
3835,146,"Succulent","commonly"
3835,146,"Dwarf shrub","commonly"
2214,8,"Herb","commonly"
2214,8,"Succulent","commonly"
2215,227,"Succulent","commonly"
2215,395,"Succulent","commonly"
2215,591,"Succulent","commonly"
2215,389,"Succulent","commonly"
2215,388,"Succulent","commonly"
2215,390,"Succulent","commonly"
2215,391,"Succulent","commonly"
2212,122,"Geophyte","commonly"
2212,122,"Succulent","commonly"
2212,122,"Herb","commonly"
2215,396,"Succulent","commonly"
2215,632,"Succulent","commonly"
2215,632,"Herb","commonly"
724,10,"Succulent","commonly"
724,10,"Dwarf shrub","commonly"
2215,352,"Succulent","always"
2215,353,"Succulent","commonly"
2215,354,"Succulent","commonly"
2215,285,"Succulent","commonly"
574,334,"Succulent","commonly"
574,334,"Shrub","commonly"
574,334,"Dwarf shrub","commonly"
574,62,"Succulent","commonly"
574,62,"Shrub","commonly"
2215,286,"Succulent","commonly"
574,152,"Succulent","commonly"
574,152,"Tree","commonly"
574,152,"Shrub","commonly"
2215,356,"Succulent","always"
574,279,"Succulent","commonly"
574,279,"Shrub","commonly"
574,350,"Succulent","commonly"
574,350,"Tree","commonly"
574,295,"Succulent","commonly"
574,295,"Shrub","commonly"
574,338,"Succulent","commonly"
574,338,"Shrub","commonly"
2215,284,"Succulent","commonly"
2215,310,"Succulent","commonly"
2215,311,"Succulent","commonly"
2215,300,"Succulent","commonly"
574,903,"Succulent","commonly"
574,903,"Shrub","commonly"
574,903,"Dwarf shrub","commonly"
389,85,"Tree","commonly"
389,85,"Shrub","commonly"
1111,84,"Herb","commonly"
1825,1,"Bryophyte","commonly"
1640,8,"Bryophyte","commonly"
1954,3,"Bryophyte","commonly"
1954,3,"Hydrophyte","commonly"
1483,6,"Bryophyte","commonly"
1825,2,"Bryophyte","commonly"
1954,1,"Bryophyte","commonly"
1954,1,"Hydrophyte","commonly"
1483,12,"Bryophyte","commonly"
31,24,"Bryophyte","commonly"
31,25,"Bryophyte","commonly"
1011,6,"Epiphyte","commonly"
1011,6,"Bryophyte","commonly"
1011,4,"Epiphyte","commonly"
1011,4,"Bryophyte","commonly"
617,6,"Bryophyte","commonly"
1011,5,"Epiphyte","occasionally"
1011,5,"Bryophyte","commonly"
889,1,"Epiphyte","occasionally"
889,1,"Bryophyte","commonly"
1011,2,"Epiphyte","occasionally"
1011,2,"Bryophyte","commonly"
764,4,"Bryophyte","commonly"
764,6,"Bryophyte","commonly"
30,1,"Bryophyte","commonly"
29,22,"Bryophyte","commonly"
682,5,"Bryophyte","commonly"
617,4,"Bryophyte","commonly"
682,15,"Bryophyte","commonly"
682,19,"Bryophyte","commonly"
683,4,"Bryophyte","commonly"
682,23,"Bryophyte","commonly"
764,1,"Bryophyte","commonly"
2063,11,"Herb","commonly"
1511,20,"Shrub","commonly"
1720,147,"Herb","commonly"
1412,4,"Tree","commonly"
1114,4,"Parasite","commonly"
1114,4,"Herb","commonly"
1114,2,"Parasite","commonly"
1114,2,"Herb","commonly"
2183,3,"Herb","commonly"
1851,4,"Tree","commonly"
1114,12,"Parasite","commonly"
1114,12,"Herb","commonly"
3240,421,"Herb","commonly"
3240,421,"Shrub","commonly"
3048,14,"Shrub","commonly"
3240,420,"Shrub","commonly"
3240,420,"Herb","commonly"
3048,3,"Shrub","commonly"
3240,35,"Herb","commonly"
3240,299,"Dwarf shrub","commonly"
3033,10,"Dwarf shrub","commonly"
3259,2,"Shrub","commonly"
3259,11,"Shrub","commonly"
3240,176,"Herb","commonly"
3152,52,"Herb","commonly"
1257,13,"Graminoid","commonly"
1257,70,"Graminoid","commonly"
1257,12,"Graminoid","commonly"
1257,93,"Graminoid","commonly"
1257,66,"Graminoid","commonly"
1235,54,"Graminoid","commonly"
1257,38,"Graminoid","commonly"
1257,63,"Graminoid","commonly"
1300,3,"Graminoid","commonly"
325,1,"Tree","commonly"
2441,18,"Lichen","commonly"
2074,14,"Geophyte","commonly"
1549,124,"Geophyte","commonly"
1549,124,"Herb","commonly"
2077,3,"Geophyte","commonly"
1549,479,"Geophyte","occasionally"
1549,479,"Herb","commonly"
2087,7,"Geophyte","commonly"
2087,7,"Hydrophyte","commonly"
5786,1,"Geophyte","commonly"
3447,1,"Shrub","commonly"
3447,1,"Tree","commonly"
3865,9,"Herb","commonly"
3865,6,"Herb","commonly"
3865,7,"Herb","commonly"
3865,16,"Herb","commonly"
146,1,"Succulent","commonly"
3835,172,"Succulent","commonly"
3835,172,"Dwarf shrub","commonly"
2240,29,"Bryophyte","commonly"
3684,6,"Bryophyte","commonly"
43,6,"Bryophyte","commonly"
2476,7,"Graminoid","commonly"
2476,7,"Herb","commonly"
1115,57,"Dwarf shrub","commonly"
1115,60,"Herb","commonly"
1121,46,"Herb","commonly"
1121,50,"Herb","commonly"
1115,54,"Herb","commonly"
1111,13,"Herb","commonly"
1412,10,"Tree","occasionally"
1412,10,"Shrub","commonly"
1115,43,"Herb","commonly"
1109,76,"Herb","always"
1109,43,"Herb","commonly"
1121,66,"Herb","commonly"
1111,17,"Herb","commonly"
1087,22,"Parasite","commonly"
1087,22,"Herb","commonly"
1115,5,"Herb","commonly"
1121,1,"Herb","commonly"
1115,42,"Tree","occasionally"
1115,42,"Dwarf shrub","commonly"
1115,37,"Herb","commonly"
1115,37,"Suffrutex","occasionally"
1852,242,"Dwarf shrub","commonly"
1090,5,"Parasite","commonly"
1090,5,"Herb","commonly"
1115,12,"Herb","commonly"
1115,32,"Herb","commonly"
1099,1,"Herb","commonly"
1459,16,"Tree","commonly"
1459,16,"Shrub","commonly"
1435,5,"Shrub","commonly"
1435,18,"Shrub","commonly"
1115,52,"Herb","commonly"
1082,82,"Herb","commonly"
1111,32,"Herb","occasionally"
1111,32,"Dwarf shrub","commonly"
1459,15,"Tree","commonly"
1459,15,"Shrub","commonly"
1459,5,"Dwarf shrub","commonly"
1439,58,"Shrub","commonly"
1121,14,"Herb","commonly"
3697,22,"Tree","commonly"
3696,12,"Herb","commonly"
3697,6,"Tree","commonly"
3902,2,"Herb","commonly"
3699,58,"Tree","commonly"
3699,58,"Shrub","commonly"
3699,7,"Shrub","commonly"
3699,7,"Tree","commonly"
3152,446,"Herb","commonly"
3902,3,"Herb","commonly"
3696,5,"Herb","commonly"
2585,359,"Herb","commonly"
7645,1,"Tree","commonly"
7645,1,"Shrub","commonly"
1446,75,"Tree","commonly"
1446,75,"Shrub","commonly"
1459,86,"Tree","commonly"
1459,86,"Shrub","commonly"
1446,112,"Tree","commonly"
1446,112,"Shrub","commonly"
1029,4,"Herb","commonly"
1072,24,"Parasite","commonly"
1072,24,"Herb","commonly"
1072,23,"Parasite","commonly"
1072,23,"Herb","commonly"
1061,6,"Herb","commonly"
1036,27,"Herb","commonly"
933,1,"Shrub","commonly"
1072,2,"Parasite","commonly"
1072,2,"Herb","commonly"
1082,21,"Herb","commonly"
574,343,"Succulent","commonly"
574,343,"Dwarf shrub","commonly"
1072,10,"Parasite","commonly"
1072,10,"Herb","commonly"
