V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc
8000842,PRE0805059-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.4073,19.174761,<500m
8000806,PRE0622681-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.403419,19.317288,501-2000m
8000759,NBG0139234-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.401409,19.31526,501-2000m
8000819,PRE0727654-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.399477,19.313786,501-2000m
8000794,NBG0191442-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.372195,18.850771,<500m
8000782,NBG0161122-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.368899,18.876578,501-2000m
8000800,PRE0606344-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.36575,21.423177,<500m
8000807,PRE0623373-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.365749,21.423177,<500m
8000768,NBG0161015-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.353078,18.48466,501-2000m
8000804,PRE0616583-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.352666,18.484598,501-2000m
8000793,NBG0172130-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.347387,19.092831,501-2000m
8000799,PRE0556645-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.347316,18.833102,501-2000m
8000779,NBG0161076-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.344796,18.832215,501-2000m
8000777,NBG0161040-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.33972,18.832475,<500m
8000845,PRE0818763-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.338408,18.466467,<500m
8000727,PRE0020907-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.338008,18.830352,<500m
8000831,PRE0775125-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.334558,20.546075,<500m
8000755,NBG0100289-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.329291,18.458408,501-2000m
8000817,PRE0727083-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.326121,21.041752,<500m
8000767,NBG0161007-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.318148,18.460961,<500m
8000747,PRE0023591-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.316751,18.461147,<500m
8000808,PRE0651676-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.3159,20.578374,<500m
8000834,PRE0775140-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.312006,19.416253,<500m
8000839,PRE0794434-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.283777,20.694359,<500m
8000749,PRE0023593-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.279446,18.994395,501-2000m
8000832,PRE0775126-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.264952,20.608442,<500m
8000933,SAM0040059-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.261148,19.77308,501-2000m
8000843,PRE0818758-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.260698,18.45691,501-2000m
8000814,PRE0710784-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.254355,20.986979,<500m
8000785,NBG0161140-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.243654,18.853919,501-2000m
8000736,PRE0022324-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.230912,18.474467,<500m
8000132,NBG0079452-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.218164,18.385053,<500m
8000822,PRE0742657-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.204322,18.39238,<500m
8000841,PRE0805058-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.195143,18.388341,<500m
8000829,PRE0775109-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.193303,18.415892,501-2000m
8000830,PRE0775110-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.190521,18.416661,501-2000m
8000742,PRE0023585-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.166363,24.65479,501-2000m
8000739,PRE0022625-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.147536,18.92885,<500m
8000813,PRE0710770-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.14651,21.150971,<500m
8000797,PRE0518616-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.123931,18.449861,501-2000m
8000756,NBG0110401-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.123628,18.449492,501-2000m
8000734,PRE0022288-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.118838,18.910195,501-2000m
8000805,PRE0618834-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.117026,21.134188,501-2000m
8000752,NBG0079455-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.094507,18.366127,501-2000m
8000922,PRE0022361-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.07712,18.74744,501-2000m
8000836,PRE0793930-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.076786,24.234981,501-2000m
8000786,NBG0161157-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.076218,18.745884,501-2000m
8000838,PRE0794418-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.06694,18.742527,<500m
8000847,PRE0826905-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.06654,23.017866,501-2000m
8000821,PRE0728406-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.064455,18.748155,501-2000m
8000131,NBG0079439-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.056213,18.792363,501-2000m
8000788,NBG0162652-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.050826,18.868211,501-2000m
8000840,PRE0799040-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.048862,22.483374,501-2000m
8000802,PRE0610318-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.038637,18.453112,501-2000m
8000846,PRE0818902-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.038627,18.359494,501-2000m
8000732,PRE0020975-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.036336,22.941375,501-2000m
8000098,SAM0019367-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.030555,19.556175,501-2000m
8000738,PRE0022614-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.028996,18.745731,501-2000m
8000803,PRE0616581-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.012853,18.404594,<500m
8000713,PRE0805038-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.009424,19.200659,<500m
8000096,NBG0161036-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-34.00166667,23.40416667,501-2000m
8000159,PRE0576886-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.998045,22.730369,501-2000m
8000529,NBG0095985-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.997057,18.412285,501-2000m
8000941,PRE0606778-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.996954,18.483852,501-2000m
8000449,PRE0022294-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.994947,18.476841,<500m
8000423,PRE0020915-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.994497,18.955893,501-2000m
8000566,NBG0161028-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.991472,18.972981,501-2000m
8000120,NBG0079451-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.987435,18.444141,501-2000m
8000691,PRE0775106-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.985548,21.226342,501-2000m
8000481,PRE0022371-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.985356,18.433395,501-2000m
8000540,NBG0160939-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.978757,18.809474,<500m
8000468,PRE0022339-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.976809,18.947777,<500m
8000585,NBG0161102-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.975513,18.948266,<500m
8000432,PRE0020937-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.972956,18.421176,501-2000m
8000165,NBG0161054-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.971539,18.848013,501-2000m
8000562,NBG0161014-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.967823,18.939378,501-2000m
8000938,NBG0161173-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.961064,18.933525,<500m
8000446,PRE0022289-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.958083,18.415919,501-2000m
8000619,PRE0239403-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.957445,18.938757,501-2000m
8000722,PRE0818846-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.956112,18.416881,501-2000m
8000509,PRE0023583-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.955704,18.405726,501-2000m
8000111,SAM0019364-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.954234,18.439663,<500m
8000620,PRE0240093-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.952885,25.552491,501-2000m
8000530,NBG0098106-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.952786,18.440412,501-2000m
8000453,PRE0022307-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.952282,18.390857,501-2000m
8000455,PRE0022309-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.945436,18.486474,501-2000m
8000435,PRE0020940-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.945173,18.441785,501-2000m
8000500,PRE0022606-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.942046,18.874996,501-2000m
8000463,PRE0022322-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.939783,18.384302,501-2000m
8000580,NBG0161071-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.93625,18.830754,501-2000m
8000881,PRE0020923-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.935602,18.831947,501-2000m
8000558,NBG0161001-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.935454,18.924035,<500m
8000112,SAM0040066-2,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.93333333,18.38333333,501-2000m
8000130,NBG0161168-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.932422,18.874862,501-2000m
8000942,PRE0610393-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.931743,18.62991,<500m
8000939,NBG0201601-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.92754,18.542704,<500m
8000552,NBG0160982-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.927352,20.467708,501-2000m
8000689,PRE0773785-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.926956,20.449387,501-2000m
8000860,SAM0008581-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.92253,19.140517,<500m
8000466,PRE0022326-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.919891,18.45897,501-2000m
8000693,PRE0775118-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.918151,21.738859,501-2000m
8000723,PRE0818847-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.917403,18.40315,501-2000m
8000863,SAM0040060-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.915807,18.38667,501-2000m
8000874,NBG0084379-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.915641,18.988038,<500m
8000128,NBG0161143-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.909503,23.22325,501-2000m
8000795,PRE0240102-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.907838,18.600699,<500m
8000678,PRE0726999-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.906512,19.152617,501-2000m
8000660,PRE0679051-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.89233,21.136776,501-2000m
8000940,PRE0518544-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.890185,22.402077,<500m
8000584,NBG0161101-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.865441,19.157809,501-2000m
8000681,PRE0727472-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.858356,19.146923,501-2000m
8000715,PRE0805077-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.852005,22.450787,501-2000m
8000471,PRE0022345-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.845145,20.683625,501-2000m
8000679,PRE0727022-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.828681,23.186249,<500m
8000612,NBG0161171-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.828543,19.031959,501-2000m
8000627,PRE0474521-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.826443,19.036641,501-2000m
8000439,PRE0020962-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.818927,20.090753,<500m
8000539,NBG0160938-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.808268,19.79183,501-2000m
8000451,PRE0022301-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.790479,19.778523,501-2000m
8000118,NBG0079441-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.785117,18.794229,501-2000m
8000139,NBG0160995-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.76194444,19.74472222,<500m
8000609,NBG0161160-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.760172,20.870292,<500m
8000541,NBG0160942-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.748961,22.30541,501-2000m
8000555,NBG0160993-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.748047,18.843891,501-2000m
8000116,NBG0069730-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.730526,19.10295,<500m
8000880,PRE0020914-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.72979,19.108568,<500m
8000926,PRE0022602-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.701227,18.960094,501-2000m
8000712,PRE0805018-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.695964,23.152258,<500m
8000544,NBG0160957-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.694292,19.746442,501-2000m
8000716,PRE0805280-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.692216,23.048875,<500m
8000677,PRE0726928-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.689907,23.150803,<500m
8000483,PRE0022376-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.686282,20.972958,501-2000m
8000671,PRE0710839-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.668751,25.457332,501-2000m
8000506,PRE0022623-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.664583,19.543562,<500m
8000700,PRE0793923-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.663916,25.457195,<500m
8000654,PRE0651670-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.650432,20.300251,501-2000m
8000635,PRE0575073-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.635116,23.128957,501-2000m
8000598,NBG0161128-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.623289,19.462695,<500m
8000577,NBG0161051-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.622068,19.474882,501-2000m
8000546,NBG0160963-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.620132,19.470726,501-2000m
8000623,PRE0472219-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.618025,25.391589,501-2000m
8000115,SAM0067665-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.616847,19.895746,501-2000m
8000533,NBG0110738-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.612448,19.451454,501-2000m
8000637,PRE0575090-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.606161,19.849545,<500m
8000124,NBG0161056-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.604014,19.511126,501-2000m
8000492,PRE0022595-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.603734,19.513804,501-2000m
8000680,PRE0727049-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.603458,23.108939,<500m
8000641,PRE0611292-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.601509,19.849657,501-2000m
8000698,PRE0785885-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.591262,21.153559,501-2000m
8000703,PRE0797839-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.585895,21.004157,501-2000m
8000717,PRE0811441-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.578333,20.86088,501-2000m
8000718,PRE0811815-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.57726,20.903444,501-2000m
8000122,NBG0161029-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.575066,18.361281,<500m
8000721,PRE0812098-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.560503,21.056604,501-2000m
8000543,NBG0160956-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.55889,18.552412,501-2000m
8000686,PRE0747457-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.558461,18.538824,501-2000m
8000501,PRE0022608-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.555292,18.376225,501-2000m
8000651,PRE0628419-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.547341,21.207851,501-2000m
8000719,PRE0811820-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.546869,20.923688,501-2000m
8000441,PRE0020971-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.544075,19.533948,501-2000m
8000705,PRE0797843-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.534603,20.912971,501-2000m
8000659,PRE0666082-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.523089,18.594249,501-2000m
8000640,PRE0609091-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.520407,25.063298,501-2000m
8000633,PRE0557991-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.515633,21.329553,501-2000m
8000596,NBG0161124-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.511614,21.322557,501-2000m
8000487,PRE0022589-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.493804,19.39502,501-2000m
8000865,NBG0079457-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.48333333,18.48333333,501-2000m
8000601,NBG0161136-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.480937,20.696305,501-2000m
8000488,PRE0022590-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.480555,19.405552,501-2000m
8000575,NBG0161046-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.47922,19.684088,501-2000m
8000607,NBG0161155-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.478675,20.741519,501-2000m
8000850,NBG0160945-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.478255,18.319923,<500m
8000621,PRE0240201-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.472278,19.667291,501-2000m
8000600,NBG0161135-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.472124,20.737908,501-2000m
8000688,PRE0755788-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.469949,20.632556,501-2000m
8000711,PRE0804977-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.463201,20.589196,501-2000m
8000486,PRE0022588-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.462189,19.279446,501-2000m
8000538,NBG0160936-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.451962,20.192354,501-2000m
8000462,PRE0022321-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.451579,21.29329,501-2000m
8000676,PRE0726918-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.441218,18.584694,<500m
8000634,PRE0575067-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.439757,18.555179,<500m
8000534,NBG0125051-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.41878,19.709332,501-2000m
8000724,PRE0818849-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.415619,18.712643,<500m
8000685,PRE0745056-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.41367,23.370136,501-2000m
8000645,PRE0616204-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.39714,18.709415,<500m
8000436,PRE0020955-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.388537,22.047515,501-2000m
8000574,NBG0161044-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.388451,18.709097,<500m
8000535,NBG0139000-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.385179,18.43757,501-2000m
8000554,NBG0160990-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.385104,22.13779,501-2000m
8000854,NBG0079431-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.38264,18.383468,501-2000m
8000434,PRE0020939-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.377915,19.635311,501-2000m
8000514,PRE0063737-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.375785,23.426567,<500m
8000579,NBG0161053-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.350808,18.165636,501-2000m
8000516,PRE0063817-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.350745,18.165638,501-2000m
8000696,PRE0775175-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.34887,22.046657,501-2000m
8000682,PRE0735383-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.347383,22.039987,501-2000m
8000586,NBG0161104-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.347009,19.111327,501-2000m
8000490,PRE0022592-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.345935,19.688635,501-2000m
8000591,NBG0161117-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.333123,19.313225,501-2000m
8000517,PRE0063820-0,,,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.33131,18.161185,501-2000m
